daysfromstart,sp,strat,temp,individual,location,origin,germinated,uniqind
67,PLAMAJ,30,16,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
12,PLAMAJ,30,16,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,16,EU20,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU20
6,PLALAN,30,16,EU35,"Europe--Zell Am See, Austria",Europe,1,PLALAN_EU35
NA,PLALAN,30,16,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
4,PLALAN,30,16,EU44,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU44
24,CHEMAJ,30,16,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
14,RUMCRI,30,16,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,RUMCRI,30,16,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
6,TAROFF,30,16,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
NA,TAROFF,30,16,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
12,PLAMAJ,30,16,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
10,PLAMAJ,30,16,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
14,PLALAN,30,16,EU21,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU21
6,PLALAN,30,16,EU37,"Europe--Zell Am See, Austria",Europe,1,PLALAN_EU37
NA,PLALAN,30,16,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
12,PLALAN,30,16,EU45,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU45
33,CHEMAJ,30,16,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
14,RUMCRI,30,16,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,RUMCRI,30,16,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
8,TAROFF,30,16,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
NA,PLAMAJ,30,16,US25,USA--Walden,USA,0,PLAMAJ_US25
NA,PLAMAJ,30,16,US205,USA--Arnold Arboretum ,USA,0,PLAMAJ_US205
12,PLAMAJ,30,16,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
12,PLALAN,30,16,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
10,PLALAN,30,16,EU38,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU38
NA,PLALAN,30,16,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
6,PLALAN,30,16,EU46,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU46
24,CHEMAJ,30,16,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
12,RUMCRI,30,16,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,RUMCRI,30,16,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
14,TAROFF,30,16,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
8,PLAMAJ,30,16,US25,USA--Walden,USA,1,PLAMAJ_US25
12,PLAMAJ,30,16,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
10,PLAMAJ,30,16,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,16,EU28,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU28
8,PLALAN,30,16,EU39,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU39
NA,PLALAN,30,16,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
4,PLALAN,30,16,EU49,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU49
24,CHEMAJ,30,16,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
14,RUMCRI,30,16,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
10,TAROFF,30,16,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
12,TAROFF,30,16,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
8,PLAMAJ,30,16,US25,USA--Walden,USA,1,PLAMAJ_US25
NA,PLAMAJ,30,16,US205,USA--Arnold Arboretum ,USA,0,PLAMAJ_US205
NA,PLALAN,30,16,EU29,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU29
16,PLALAN,30,16,EU40,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU40
NA,PLALAN,30,16,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
14,PLALAN,30,16,EU52,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU52
24,CHEMAJ,30,16,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
14,RUMCRI,30,16,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
10,TAROFF,30,16,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
NA,TAROFF,30,16,EU11,"Europe--Arna, Norway",Europe,0,TAROFF_EU11
8,PLAMAJ,30,16,US25,USA--Walden,USA,1,PLAMAJ_US25
12,PLAMAJ,30,16,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,16,EU34,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU34
4,PLALAN,30,16,EU41,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU41
14,PLALAN,30,16,EU42,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU42
6,PLALAN,30,16,EU53,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU53
14,RUMCRI,30,16,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
18,RUMCRI,30,16,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
NA,TAROFF,30,16,EU01,"Europe--Grenoble, France",Europe,0,TAROFF_EU01
8,TAROFF,30,16,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
8,PLAMAJ,30,16,US25,USA--Walden,USA,1,PLAMAJ_US25
20,PLAMAJ,30,20.7,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
NA,PLAMAJ,30,20.7,EU01,"Europe--Schaan, Liechtenstein",Europe,0,PLAMAJ_EU01
NA,PLALAN,30,20.7,EU20,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU20
67,PLALAN,30,20.7,EU35,"Europe--Zell Am See, Austria",Europe,1,PLALAN_EU35
NA,PLALAN,30,20.7,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
6,PLALAN,30,20.7,EU44,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU44
33,CHEMAJ,30,20.7,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
67,RUMCRI,30,20.7,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
67,RUMCRI,30,20.7,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
8,TAROFF,30,20.7,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
8,TAROFF,30,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
6,PLAMAJ,30,20.7,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
6,PLAMAJ,30,20.7,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,20.7,EU21,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU21
6,PLALAN,30,20.7,EU37,"Europe--Zell Am See, Austria",Europe,1,PLALAN_EU37
6,PLALAN,30,20.7,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
6,PLALAN,30,20.7,EU45,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU45
NA,CHEMAJ,30,20.7,EU29,"Europe--Grenoble, France",Europe,0,CHEMAJ_EU29
12,RUMCRI,30,20.7,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
NA,RUMCRI,30,20.7,EU05,"Europe--Grenoble, France",Europe,0,RUMCRI_EU05
6,TAROFF,30,20.7,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
6,PLAMAJ,30,20.7,US25,USA--Walden,USA,1,PLAMAJ_US25
NA,PLAMAJ,30,20.7,US205,USA--Arnold Arboretum ,USA,0,PLAMAJ_US205
6,PLAMAJ,30,20.7,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,20.7,EU22,"Europe--Copenhagen, Denmark",Europe,0,PLALAN_EU22
8,PLALAN,30,20.7,EU38,"Europe--Just below Enzianhutte, above Zell Am See, Austria",Europe,1,PLALAN_EU38
20,PLALAN,30,20.7,EU22,"Europe--Copenhagen, Denmark",Europe,1,PLALAN_EU22
4,PLALAN,30,20.7,EU46,"Europe--Podhom, Slovenia",Europe,1,PLALAN_EU46
30,CHEMAJ,30,20.7,EU29,"Europe--Grenoble, France",Europe,1,CHEMAJ_EU29
10,RUMCRI,30,20.7,EU03,"Europe--Grenoble, France",Europe,1,RUMCRI_EU03
12,RUMCRI,30,20.7,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
10,TAROFF,30,20.7,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
6,PLAMAJ,30,20.7,US25,USA--Walden,USA,1,PLAMAJ_US25
6,PLAMAJ,30,20.7,US205,USA--Arnold Arboretum ,USA,1,PLAMAJ_US205
6,PLAMAJ,30,20.7,EU01,"Europe--Schaan, Liechtenstein",Europe,1,PLAMAJ_EU01
NA,PLALAN,30,20.7,EU28,"Europe--Zell Am See, Austria",Europe,0,PLALAN_EU28
