datasetID,study,Entered By,genus,species,varetc,population,population detail,provenance lat,provenance long,population altitude m,continent,year,material,fieldchill,fieldsample date,chilltemp,chillphotoperiod,chilldays,forcetemp,forcetemp_night,photoperiod_day,photoperiod_night,respvar,response,response time,n,error type,resp_error,figure/table (if applicable),growing lat,growing long,field chill units,cu model,other treatment,irradiance,irradiance units,humidity,number.longdays,dormancy_induction_temp,dormancy_induction_days,dormancy_induction_photoperiod_day,dormancy_induction_photoperiod_night,freeze treatment time,freeze treatment photoperiod_day,freeze treatment photoperiod_night,freeze treatment temp_day,freeze treatment temp_night,response (pre-treatment),response (post-treatment
basler12,exp1,TS,Acer,psuedoplatanus,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,47.26,,SD,4.34,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Acer,psuedoplatanus,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,46.23,,SD,4.529,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Acer,psuedoplatanus,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,36.79,,SD,4.245,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Acer,psuedoplatanus,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,36.23,,SD,5.378,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Acer,psuedoplatanus,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,57.26,,SD,4.622,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Acer,psuedoplatanus,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,56.7,,SD,4.151,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Acer,psuedoplatanus,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,34.81,,SD,3.867,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Acer,psuedoplatanus,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,34.72,,SD,5,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,25.76,,SD,1.32,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,25.47,,SD,1.698,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,24.62,,SD,3.207,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,24.06,,SD,3.585,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,30.28,,SD,5.094,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,30.28,,SD,2.924,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,30.38,,SD,2.453,fig3,,,,,,548,umol m_2 s_1,,,,,,,,,,,,,
basler12,exp1,TS,Betula,pendula,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,28.49,,SD,3.491,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,28.87,,SD,2.169,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,29.06,,SD,2.83,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,high elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,28.4,,SD,3.208,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,high elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,28.02,,SD,1.793,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,low elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,low elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,high elevation,"Lavey, western transect",46.2,7.033,1450,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Aesculus,hippocastanum,,high elevation,"Chur, eastern transect",46.85,9.53,1520,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,NA,,SD,NA,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Syringa,vulgaris,,low elevation,"Lavey, western transect",46.2,7.033,500,Europe,2009,cuttings,,,,,,meandaily,,shortday,shortday,daystobudburst,1,29.43,,SD,2.83,fig3,,,,,,548,umol m_2 s_1
basler12,exp1,TS,Syringa,vulgaris,,low elevation,"Chur, eastern transect",46.85,9.53,700,Europe,2009,cuttings,,,,,,meandaily,,longday,longday,daystobudburst,1,29.25,,SD,2.736,fig3,,,,,,548,umol m_2 s_1
