"datasetID","Chilling_Hours","Utah_Model","Chill_portions"
"basler12.",2291,2219.5,133.762425634998
"basler14.2010-01-27",1082,1151,57.8878203695237
"basler14.2010-03-02",1082,1151,57.95918892335
"basler14.2010-03-31",1214,1191,69.84170894903
"cannell83.",3473,3134.5,160.583776957835
"charrier11.",2493,2991,156.259722813681
"dantec14.2010-10-15",36,-307,3.01348696861544
"falusi97.1993-09-18",0,-124,0
"falusi97.1993-10-21",15,-199.5,7.03465282294179
"falusi97.1993-12-24",719,804,53.9192816233778
"falusi97.1994-09-18",0,-244,0
"falusi97.1995-01-06",802,841,63.7865004709243
"fu13.2010-12-01",429,767,42.7987702174968
"fu13.2010-12-01",636,877.5,46.2764936383693
"fu13.2011-12-01",636,877.5,45.2821253329653
"fu13.2011-12-01",462,589.5,38.7429855187124
"ghelardini10.",2141,3327.5,159.803016665503
"gomory15.2011-04-10",1937,1978,123.691743692206
"gomory15.2011-04-01",1820,1838,116.228165059446
"gomory15.2011-03-01",1516,1578.5,96.8615592258703
"granhus09.",1703,1537,112.597343041846
"guerriero90.1989-12-05",356,69,29.9190168707754
"guerriero90.1989-12-20",471,225,37.0620422427448
"guerriero90.1990-01-05",639,419,48.4254552179081
"guerriero90.1990-01-19",802,587,57.8558828893011
"guerriero90.1990-02-03",886,760.5,67.5658546158639
"guerriero90.1990-02-18",1025,948.5,77.6108029171329
"heide01.1999-09-30",21,68.5,10.0515994464467
"heide08.2003-04-24",2308,2289,137.639884170353
"heide12.2012-02-15",1690,2184,110.16519728762
"heide12.2012-03-01",1825,2448.5,121.729131062032
"heide15.2014-10-29",320,876,40.4774613607334
"heide15.2014-10-29",153,447,28.6808316086807
"heide77.",2719,2645.5,145.717200888291
"heide93.1989-11-15",612,1188,52.5136818447554
"heide93.1989-12-15",921,1359.5,68.0181035328633
"heide93.1990-01-15",1282,1582,85.0812382884263
"heide93.1990-02-15",1969,2132,107.584736755699
"heide93.1990-03-15",2446,2580,127.440722336576
"heide93.1990-11-15",703,1047.5,52.752552487852
"heide93.1990-12-15",1020,1246.5,65.155060245234
"heide93.1991-01-15",1442,1448.5,80.6528891925807
"heide93.1991-02-15",1549,1495,88.4279462013363
"heide93.1991-03-15",1945,1638,105.854736752782
"heide93a.1991-10-15",240,531.5,27.9422223284866
"heide93a.1991-11-15",807,1106.5,50.7279577479446
"heide93a.1991-12-15",1237,1460,70.3566690658031
"heide93a.1992-01-15",1698,1749.5,89.2112186786718
"heide93a.1992-02-15",2037,1958,106.202552468281
"heide93a.1992-03-15",2509,2320.5,124.630669027793
"heide93a.1991-03-15",1743,1528,104.368517013369
"jones12.2007-10-18",178,405,24.0439544726678
"junttila12.",1905,1545,113.946874706756
"kinet93.1992-12-01",700,1136,52.1695417335237
"kinet93.1992-08-30",0,4,0
"kronenberg76.1971-10-06",211,230,16.3630515574952
"kronenberg76.1972-09-27",165,281.5,14.5683548795487
"laube14b.",2376,2248.5,134.694322327027
"lieten95.1991-12-04",NA,NA,NA
"lieten97.1994-12-10",531,1048.5,58.5517903963606
"linkosalo06.",2373,2167,126.649231490691
"morin10.",2499,2433,141.767855160283
"morin10.2004-01-01",1313,1357,71.891477074797
"myking97.",1653,1541.5,112.373136174085
"myking98.1996-11-15",648,1141.5,50.0525781045673
"myking98.1996-12-15",1012,1369.5,65.9580669641355
"myking98.1997-01-15",1080,1408,74.7118573047274
"myking98.1997-02-15",1502,1624,90.219698352078
"myking98.1997-03-15",1931,1992,109.006228582851
"myking98.1997-04-15",2342,2370,129.134775517911
"pagter15.2012-11-15",593,984,49.9728033851076
"pagter15.2012-12-15",917,1293,60.037185957664
"pagter15.2013-01-15",1203,1412,71.7408762999068
"pagter15.2013-02-15",1376,1489.5,81.6832115795244
"partanen01.1997-12-05",859,838.5,46.3548660641564
"partanen05.1992-09-14",6,6.5,4.01539499853625
"partanen05.1992-09-28",44,164.5,12.0436060721415
"partanen05.1992-10-12",230,395.5,21.6949900151025
"partanen05.1992-10-26",295,421,26.726875753584
"partanen05.1992-11-09",366,462,32.1876613831268
"partanen05.1992-11-23",407,462,33.1347452297021
"partanen05.1992-12-07",539,510,41.0618494411221
"partanen05.1992-12-27",713,595.5,50.661804641482
"partanen05.1993-01-17",835,615.5,56.3828313641631
"partanen05.1993-02-07",952,640,63.5030379896923
"partanen05.1993-02-24",1006,655,66.8652063024892
"partanen05.1993-03-13",1013,655,67.1098685918547
"partanen05.1993-04-03",1310,789.5,84.743658050012
"partanen05.1993-04-17",1421,834.5,92.494515665366
"partanen05.1993-05-01",1625,999,102.756949282725
"partanen05.1993-05-10",1689,1076.5,107.536821054001
"partanen98.1994-11-02",576,944,43.3859792854633
"partanen98.1994-12-02",996,1240,61.2594051337791
"partanen98.1993-12-07",645,518,32.5228964857835
"partanen98.1993-12-20",654,518,32.8012905449162
"ramos99.1996-10-17",7,-496.5,0.990322480997675
"ramos99.1996-11-20",90,-494.5,6.83740315581174
"ramos99.1996-12-18",229,-189.5,24.6495097556119
"ramos99.1997-01-09",388,147,40.4287309312893
"ramos99.1997-01-23",452,349.5,49.5111605966855
"ramos99.1997-02-07",523,520,59.5136608258999
"ramos99.1997-02-20",619,665.5,67.8407939055717
"rinne94.",1406,1075,83.2944832851928
"rinne97.",1288,899,66.9352992837312
"ruesink98.1994-07-19",2978,3602,185.677615880776
"ruesink98.1995-01-18",1009,1667.5,87.7549240132784
"ruesink98.1994-02-02",1724,2138.5,98.8254119921534
"Sanz-Perez09.2005-01-31",1090,712.5,72.5399663424742
"skre08.2001-01-25",1732,1789.5,76.9134258936574
"skre08.2001-11-22",849,1202.5,58.8550993487019
"skuterud94.1993-11-25",547,572,38.8599648371495
"skuterud94.1993-11-25",935,930,46.8631840077518
"smeets80.1977-05-02",2747,3130.5,155.296531597868
"smeets82.1979-03-01",1209,1470.5,93.7485292980316
"smeets82.",2095,2445.5,138.610867913949
"sonsteby06.2004-07-07",2814,2611,163.18781540122
"sonsteby06.2004-08-25",2829,2229.5,167.164518764573
"sonsteby06.2004-07-20",2814,2583,164.199078680073
"sonsteby09a.",2080,2724.5,138.292884454811
"sonsteby09b.",2548,2296.5,138.919511354494
"sonsteby14.2010-11-03",710,820,42.7861179983342
"sonsteby14.2011-10-19",86,393,23.8748559280721
"sonsteby14.2012-10-17",66,369,23.0381588838226
"sonsteby14.2012-10-17",315,566,29.2118844037503
"verheul07.",3100,3442.5,164.358825689445
"verheul07.2005-01-01",1176,1768,81.0403710249309
"verheul07.2005-01-03",1224,1805.5,82.8118890510516
"verheul07.2005-01-05",1266,1845,84.8097392387848
"verheul07.2005-01-06",1290,1869,85.7065212575165
"verheul07.2005-01-11",1369,1983.5,88.9550697082092
"verheul07.2005-01-12",1378,2007.5,89.954579789393
"verheul07.2005-01-13",1387,2031.5,90.8765580612874
"verheul07.2005-01-15",1426,2067.5,92.5070669104012
"verheul07.2005-01-17",1462,2107,94.508778932505
"verheul07.2005-01-18",1477,2131,95.5147011899446
"verheul07.2005-01-19",1499,2146,95.5105839019387
"verheul07.2005-01-21",1547,2167.5,97.3929739948003
"verheul07.2005-01-20",1523,2154.5,96.2869860983965
"verheul07.2005-01-23",1583,2185,98.1284341940323
"verheul07.2005-01-25",1605,2191.5,98.7941674632667
"verheul07.2005-01-27",1616,2193,99.0442269093741
"verheul07.2005-01-28",1636,2202.5,101.240622285214
"verheul07.2005-02-05",1809,2346.5,107.527728508764
"verheul07.2005-02-08",1881,2402.5,108.904718941707
"verheul07.2005-02-09",1905,2407,109.477784447724
"voipio01.1998-11-16",711,902.5,42.3552843469332
"ashby62.",1356,877,98.7993000741226
"ashby62.1956-12-11",482,167.5,32.7110765332661
"ashby62.1957-01-08",738,311,44.0158498336302
"ashby62.1957-02-05",806,344.5,53.8545038584615
"ashby62.1957-03-04",1075,496.5,71.5627285197954
"boyer.1983-09-15",NA,NA,NA
"boyer.1983-11-15",54,-1195.5,3.78740252007251
"boyer.1983-12-06",145,-1182,9.25494313550545
"boyer.1983-12-15",187,-1139,12.3949985781398
"boyer.1983-12-21",241,-1037.5,17.720445589333
"bradford10.2007-10-25",225,86,15.8769071395531
"calme94.1992-10-05",213,109.5,12.3010640018348
"calme94.1992-11-02",510,387.5,29.8978476905339
"calme94.1992-11-16",678,502.5,37.2446705730074
"calme94.1992-12-07",861,574,46.4130323791578
"calme94.1993-02-01",1021,642.5,63.6449529941475
"calme94.1993-03-29",1136,714,81.3156015618772
"calme94.1993-04-26",1447,990,99.5037046931322
"calme94.1993-01-11",987,781,60.9698509229042
"calme94.1993-03-01",1056,841.5,68.7759953426149
"campbell75.1973-09-01",NA,NA,NA
"durner84.1981-11-13",464,292,30.4004470536419
"gianfagna85.1984-03-13",1288,985,96.2146904042734
"gianfagna85.1984-03-27",1493,1177,107.066707486476
"gianfagna85.1984-04-10",1678,1371.5,116.458471810416
"gianfagna85.1984-04-24",1811,1586,127.089786324088
"guak98.1995-06-07",2530,3048.5,155.738153578536
"gunderson12.2004-03-01",1381,689.5,81.4323228602556
"hawkins12.1998-01-01",867,725,44.4817618377014
"man10.2009-09-01",0,-12,0
"nienstaedt66.1958-11-28",571,406,43.7775415180178
"okie11.2007-01-25",644,-329,38.6927780868351
"okie11.2008-01-18",502,-668.5,31.7435279126343
"pop2000.1996-09-03",47,53.5,1.22040943356915
"spann04.2001-01-03",401,-993,20.8868975707013
"spiers74.1972-10-20",7,-1068.5,0
"spiers74.1972-10-24",7,-1128.5,0
"spiers74.1972-10-28",14,-1121.5,1.00014646822422
"spiers74.1972-11-06",14,-1257.5,1.00014646822422
"spiers74.1972-11-14",22,-1304.5,1.00014646822422
"spiers74.1972-12-09",250,-1081.5,14.4458176167345
"spiers74.1972-12-24",340,-1038.5,20.7308412585708
"spiers74.1973-01-18",520,-869.5,31.9672870513698
"swartz81.1980-11-01",211,-319,15.699126202393
"webb78.1973-11-01",440,356,27.848297312089
"webb78.1973-12-01",849,645.5,47.0707168892222
"webb78.1974-05-01",1661,1223,112.037422760682
"yazdaniha64.1962-10-23",185,-60,8.63722527886942
