datasetID,Study,taxon,taxon notes,other treatment,temp.chilling,length.chilling,daylength.chilling,Nlevels.chilling,length.freezingtreatment,daylength.freezingtreatment,temp.freezingtreatment,temp.forcing,Nlevels.forcing,daylength.forcing,Nlevels.daylength,length.dormancyinduction,temp.dormancyinduction,population,Notes,
bernier81,exp1,Sinapsis alba,,,,,,,,,,10-35,6,8 - 22,,,,,,
basler12,exp1,14 woody species,cuttings,,,,,,,,,mean daily of site,1,"short day, long day (ramped)",2,,,,"Tested effects of long and short photoperiods. Photoperiod was ramped to at different paces from the same starting point. Exact temperature was not listed, but was controlled in all treatments––so it was just a test of photoperiod as the title says.",
gutterman88,exp1,Colchicum tunicatum,plants,,,,,,,,,"15, 30",2,"8, 12, 14, 24",4,,,Sede Boquer,Tested both photoperiod and temperature,
gutterman88,exp2,Colchicum tunicatum,plants,,,,,,,,,ambient,1,"ambient, 9, 12, 15, 18",5,,,Sede Boquer,Tested just for photoperiod. Used open top chambers so temperature was ambient.,
caffarra11a,exp1,"Betpub, Fagsyl, Salsmi",cuttings,,ambient,not applicable,natural,,,,,22,,16,1,,,,Effect of light intensity,
caffarra11a,exp2,"Betpub, Salsmi, Tilcor",cuttings,,3,16,0 (complete darkness),,,,,"-3, 6, 12, 18, 24, 32",,16,1,,,,Effect of forcing temperature,
caffarra11a,exp3,"Betpub, Fagsyl, Salsmi, Tilcor",cuttings,,3,"0, 11, 30, 55, 105",0 (complete darkness),,,,,18,1,"8, 16",2,,,,Effect of chilling duration and forcing photoperiod,
caffarra11b,exp3,Betula pubescens,clones,,"10, 20","0, 50","8, 16",4,,,,20,1,16,1,"30, 60","10, 18",,"Effect of dormancy induction temperature and duration, chilling photoperiod and chilling presence/absence. Described as ""Experiment 3"" in paper.",
caffarra11b,exp2,Betula pubescens,cuttings,,ambient,"0, 35, 55, 95","8, 16",8,,,,22,1,"10, 12, 14, 16",4,,,,Effect of chilling duration and forcing photoperiod,
charrier11,exp2,"Juglans spp. Serr, Chandler, Lara, Franquette, E-Hybrid, L-Hybrid",cuttings,,,,16,,,,,"5, 10, 15, 20, 25",5,,1,,,,Effect of forcing temperature,
charrier11,exp1,"Juglans spp. Serr, Chandler, Lara, Franquette, E-Hybrid, L-Hybrid",10-20 year-old trees,,,,natural,,,,,ambient,1,ambient,1,,,"Lowland, mountain",Observational budburst of the same species at 1) highland and 2) lowland,
cook05,exp1,Malus domestica,shoots,defoliated,ambient,ambient,ambient,,"0, 14",12,"-1, 13",25,1,24,1,"0, 28, 56, 84","1, 4, 7, 10","Somerset West, South Africa",Effect of 1) pre-treatment freezing 2) added chilling time and 3) added chilling temp,
cook05,exp2,Malus domestica,shoots,"defoliated, foliated",no chilling,no chilling,unchilled,,"0, 7",12,"-1, 13",25,1,24,1,"0, 21, 42, 84","1, 5, 9, 13","Elgin, South Africa","Effect of 1) defoliated vs. foliated cuttsing during dormancy induction, 2) pre-treatment freezing, 3) added chilling time, and 4) added chilling temp",
devries82,exp1,Rosa spp.,15 hybrid tea roses,"irradiance: 8W, 16W, 24W",,,,,,,,"16, 20, 24",3,,1,,,,"3 temp x 3 light intensities, 9 treatments",
ellis97,exp1,Sorhum bicolor,4 varieties,,,,,,,,,30 - 34,2,12-11,2,,,,Contrasted syncrhonous with asynchronous thermoperiod and photoperiod,
ellis97,exp2,Sorhum bicolor,3 varieties,,,,,,,,,30,1,12,1,,,,2 levels of asynchrony,
ellis97,exp3,Sorhum bicolor,1 variety,,,,,,,,,25-31,2,12.5-11,2,,,,Reciprocal transplant between more inductive and less inductive conditions for panicle development,
ellis97,exp4,Sorhum bicolor,3 varieties,,,,,,,,,24-33,4,12.5-11,2,,,,Tested duration fo photoperiod-sensitive and -insensitive phases,
falusi03,exp1,Fagus sylvatica,bud types,"h20, ga3 (hormone)",ambient,"0, 42, 70, 98, 254, 197",ambient,6,,,,"15, 25",2,12,,"0, 42, 70, 98, 254, 197",ambient,"Vallonbrosa, Italy","Effect of 1) cuttings' availability to growth hormone in flasks, 2) field chill/dormancy induction time, as tested by staggering cutting dates from early fall to late winter, and 3) looked at how various bud types along a single cutting respond differently",
falusi90,exp1,Fagus sylvatica,2 year-old seedlings,,<16,winter length,natural,,,,,"24 day, 13 night",1,ambient,1,,,,,
ghelardini10,exp1,"Ulmus pumila, parvifolia, macrocarpa, villosa, glabra, minor",1 year-old cuttings,,,,,,,,,21,1,"8, 16",2,,,,,
ghelardini10,exp2,"Ulmus pumila, U. parvifolia, U. villosa, U. minor","1 year-old twigs, single-node cuttings",,,,,,,,,"14, 26",2,16,1,,,,,
heide03,exp1,"Betula pubescens, Betula pendula, Alnus glutinosa",,,,"40, 70, 100, 130",10,4,,,,15,1,24,1,42,"21, 15, 9",Southern Norway,"Effect of 1) number of chilling days, and 2) dormancy induction temp. Forcing treatments remained same across study. Just tested for these effects of dormancy induction and ",
heide11,exp1,"Sorbus aucuparia, S. commixta","""Sunshine"" and ""Dodong"" cultivar names; seedlings",,,,,,,,,"21, 15, 9",3,"20, 10",2,,,"Akershus, Norway",Effect of forcing temp and photoperiod on Sunshine and Dodong seedlings,
heide11,exp2,"Sorbus aucuparia, S. intermedia",wild type seedlings,,,,,,,,,"21, 15, 9",3,"20, 10",2,,,"Akershus, Norway",Effect of forcing temp and photoperiod on wild-type seedlings,
